,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,SCRAMBLING_P,PAR OR BETTER,MISSED GIR,TOP 10_x,POINTS,TOP 10_y,1ST,Year
70,Martin Laird,82,70.867,298.5,55.14,67.66,.158,.148,.306,58.37,265,454,1,811,3,,2016
71,David Hearn,95,70.870,281.2,65.94,68.25,.214,.311,.525,61.14,332,543,1,"1,084",2,,2016
72,David Toms,62,70.872,269.7,67.98,65.50,.132,.248,.380,61.04,235,385,1,455,1,,2016
73,Hudson Swafford,104,70.875,306.9,61.43,68.80,.205,.093,.298,54.97,321,584,1,981,1,,2016
74,Aaron Baddeley,93,70.888,291.7,55.42,63.11,.586,-.330,.257,64.30,380,591,4,922,5,1,2016
75,Jamie Lovemark,91,70.896,304.8,57.32,65.32,.131,.373,.504,61.44,349,568,5,"1,232",5,,2016
76,Graeme McDowell,63,70.899,281.4,67.70,64.44,-.199,.021,-.178,58.85,226,384,4,"1,250",5,1,2016
77,Bryce Molder,80,70.901,280.2,62.53,61.32,.553,-.013,.540,65.38,355,543,5,718,5,,2016
78,Jhonattan Vegas,97,70.903,304.4,56.57,69.71,.072,.498,.571,58.97,299,507,3,362,5,1,2016
79,Luke Donald,81,70.918,282.9,56.69,64.61,.148,.230,.378,64.15,331,516,1,"1,055",2,,2016
80,Chris Kirk,90,70.920,285.9,62.02,64.05,-.006,.660,.653,62.73,345,550,2,"1,167",3,,2016
81,Patton Kizzire,93,70.921,291.3,55.23,64.48,.442,-.039,.403,56.24,320,569,5,760,5,,2016
82,Spencer Levin,104,70.927,281.3,67.79,66.33,.008,.230,.238,59.41,360,606,2,690,2,,2016
83,Jerry Kelly,76,70.937,278.2,71.20,66.67,-.214,.381,.167,64.04,292,456,1,834,2,,2016
84,Kyle Reifers,115,70.965,287.3,65.29,67.62,.120,.057,.177,55.95,362,647,4,"1,013",5,,2016
