,NAME,SCORING,ROUNDS,TOTAL STROKES,DRIVE_DISTANCE,TOTAL DISTANCE,TOTAL DRIVES,FWY_%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GIR_%,GREENS HIT,# HOLES,RELATIVE/PAR,SG_P,TOTAL SG:PUTTING,SG_TTG,SG:OTT,SG:APR,SG:ARG,SG_T,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,SCRAMBLING_P,PAR OR BETTER,MISSED GIR,POINTS,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,RESET POINTS,TOP 10,1ST,2ND,3RD,Year
106,Pat Perez,"3,811",54,"3,811","28,859","28,859",100,427,427,741,626,626,972,-0.29,.248,.248,-.460,-.460,.212,.419,7.613,7.613,7.365,.248,214,214,346,249,17,0,2,"2,593",,,,,,2019
107,Vince Whaley,"4,293",63,"4,293","36,628","36,628",122,434,434,845,694,694,"1,098",-0.34,9.577,9.577,-.057,-.057,-.552,-.036,-18.154,-18.154,-27.730,9.577,228,228,404,283,20,0,1,"2,559",,,,,,2019
108,Beau Hossler,"3,271",48,"3,271","28,387","28,387",92,318,318,643,524,524,828,-0.30,34.624,34.624,-.191,-.191,-.696,.063,.865,.865,-33.757,34.624,180,180,304,494,16,0,2,"2,348",,,,,1,2019
109,Greyson Sigg,"4,504",66,"4,504","37,594","37,594",128,548,548,885,761,761,"1,152",-0.27,-.608,-.608,-.079,-.079,-.029,-.098,-10.059,-10.059,-9.454,-.608,250,250,391,232,20,0,,"2,610",,,,,,2019
110,Brooks Koepka,"2,817",45,"2,817","24,882","24,882",80,299,299,558,460,460,720,-0.31,9.450,9.450,.146,.146,-.065,-.168,6.462,6.462,-2.988,9.450,158,158,260,405,14,0,2,"2,437",,,,,1,2019
111,Stephan Jaeger,"4,177",63,"4,177","34,173","34,173",118,443,443,815,651,651,"1,062",-0.31,9.028,9.028,-.824,-.824,.014,.494,-6.459,-6.459,-15.488,9.028,251,251,411,273,21,0,1,"2,569",,,,,,2019
112,Robert Streb,"3,737",55,"3,737","29,476","29,476",98,443,443,728,609,609,954,-0.28,2.724,2.724,-.087,-.087,-.126,.051,-4.534,-4.534,-7.258,2.724,216,216,345,284,19,0,3,"2,558",,,,,,2019
113,Vaughn Taylor,"2,604",39,"2,604","20,910","20,910",74,356,356,514,439,439,666,-0.27,-13.783,-13.783,-.144,-.144,.326,.080,-7.498,-7.498,6.286,-13.783,146,146,227,113,13,0,1,"2,729",,,,,,2019
114,Jonathan Byrd,"2,609",39,"2,609","21,636","21,636",74,315,315,513,428,428,666,-0.27,8.774,8.774,-.597,-.597,-.512,.507,-5.070,-5.070,-13.844,8.774,159,159,238,197,13,0,1,"2,645",,,,,,2019
115,Kurt Kitayama,"3,108",48,"3,108","26,975","26,975",88,311,311,609,520,520,792,-0.32,-2.021,-2.021,-.001,-.001,.622,-.279,7.561,7.561,9.582,-2.021,152,152,272,481,16,0,2,"2,361",,,,1,1,2019
116,Chad Ramey,"4,096",60,"4,096","33,370","33,370",116,521,521,805,695,695,"1,044",-0.30,-11.200,-11.200,-.367,-.367,.380,-.200,-18.684,-18.684,-7.485,-11.200,191,191,349,538,20,1,2,"2,304",,1,1,,,2019
117,Patton Kizzire,"4,362",64,"4,362","37,701","37,701",124,464,464,864,732,732,"1,116",-0.30,3.443,3.443,-.146,-.146,.249,-.102,3.494,3.494,.052,3.443,240,240,384,283,19,0,1,"2,559",,,,,,2019
118,Sahith Theegala,"4,991",73,"4,991","43,107","43,107",142,529,529,981,841,841,"1,278",-0.29,-10.433,-10.433,.048,.048,.079,.126,3.966,3.966,14.398,-10.433,275,275,437,461,21,0,3,"2,381",,,,,1,2019
119,Brian Stuard,"4,870",73,"4,870","37,932","37,932",138,682,682,953,807,807,"1,242",-0.25,-17.838,-17.838,-.484,-.484,.132,.220,-24.316,-24.316,-6.477,-17.838,279,279,435,258,24,0,2,"2,584",,,,,,2019
120,Wyndham Clark,"4,015",61,"4,015","33,850","33,850",106,408,408,783,671,671,"1,026",-0.30,10.791,10.791,.023,.023,-.254,-.204,-7.894,-7.894,-18.689,10.791,217,217,355,260,19,0,1,"2,582",,,,,,2019
121,Graeme McDowell,"2,962",44,"2,962","23,804","23,804",84,378,378,580,495,495,756,-0.29,3.896,3.896,-.316,-.316,.257,-.316,-6.966,-6.966,-10.863,3.896,163,163,261,197,15,0,,"2,645",,,,,,2019
122,Austin Smotherman,"3,602",53,"3,602","30,844","30,844",102,451,451,705,622,622,918,-0.29,-7.518,-7.518,.431,.431,.567,-.448,12.819,12.819,20.337,-7.518,169,169,296,206,16,0,,"2,636",,,,,,2019
123,Michael Thompson,"4,226",60,"4,226","34,235","34,235",120,550,550,833,686,686,"1,080",-0.30,8.818,8.818,-.264,-.264,-.253,.047,-14.644,-14.644,-23.463,8.818,253,253,394,282,18,0,1,"2,560",,,,,,2019
124,Stewart Cink,"3,319",47,"3,319","28,553","28,553",94,390,390,655,571,571,846,-0.29,1.929,1.929,-.106,-.106,.165,-.338,-9.769,-9.769,-11.700,1.929,143,143,275,269,15,0,2,"2,573",,,,,,2019
125,Dylan Frittelli,"4,463",63,"4,463","38,026","38,026",126,444,444,877,739,739,"1,134",-0.27,-2.794,-2.794,-.158,-.158,.103,.092,-.906,-.906,1.889,-2.794,237,237,395,316,19,0,1,"2,526",,,,,,2019
126,Sam Ryder,"4,104",62,"4,104","31,745","31,745",108,466,466,804,668,668,"1,044",-0.32,8.064,8.064,-.243,-.243,-.110,.042,-6.843,-6.843,-14.907,8.064,207,207,376,350,20,0,3,"2,492",,,,,1,2019
127,Erik van Rooyen,"2,821",43,"2,821","21,691","21,691",72,350,350,556,485,485,720,-0.31,-5.422,-5.422,.156,.156,.366,-.391,-.957,-.957,4.464,-5.422,118,118,235,269,13,0,1,"2,573",,,,,,2019
128,Andrew Novak,"3,657",54,"3,657","30,721","30,721",104,406,406,721,623,623,936,-0.26,-9.057,-9.057,-.230,-.230,.188,.173,-4.877,-4.877,4.181,-9.057,208,208,313,193,18,0,,"2,649",,,,,,2019
129,Cam Davis,"3,528",50,"3,528","30,360","30,360",100,400,400,702,575,575,900,-0.31,1.267,1.267,.049,.049,.052,-.010,5.277,5.277,4.009,1.267,193,193,325,279,16,0,2,"2,563",,,,,1,2019
130,Francesco Molinari,"2,901",41,"2,901","24,121","24,121",82,347,347,571,468,468,738,-0.29,1.326,1.326,-.241,-.241,-.134,.277,-2.024,-2.024,-3.349,1.326,157,157,270,181,13,0,1,"2,661",,,,,,2019
131,Harry Higgs,"4,109",60,"4,109","32,438","32,438",108,458,458,800,642,642,"1,044",-0.27,15.892,15.892,-.104,-.104,-.624,-.001,-17.613,-17.613,-33.504,15.892,257,257,402,215,21,0,1,"2,627",,,,,,2019
132,Adam Schenk,"4,621",69,"4,621","37,081","37,081",122,489,489,898,743,743,"1,170",-0.27,9.837,9.837,-.155,-.155,-.040,-.418,-22.018,-22.018,-31.856,9.837,249,249,427,380,23,0,3,"2,462",,,,,1,2019
133,Lucas Herbert,"2,279",37,"2,279","19,469","19,469",64,239,239,452,336,336,576,-0.35,25.151,25.151,-.453,-.453,-.967,.255,-2.818,-2.818,-27.970,25.151,148,148,240,722,13,1,2,"2,120",,1,1,,,2019
134,Zach Johnson,"3,134",44,"3,134","24,962","24,962",88,372,372,610,492,492,792,-0.26,9.127,9.127,-.391,-.391,-.271,.031,-14.233,-14.233,-23.361,9.127,170,170,300,182,17,0,,"2,660",,,,,,2019
135,Lucas Glover,"4,310",63,"4,310","36,142","36,142",122,587,587,857,762,762,"1,098",-0.26,-30.120,-30.120,.269,.269,.398,-.159,-3.745,-3.745,26.375,-30.120,188,188,336,322,18,0,1,"2,520",,,,,,2019
136,Taylor Moore,"3,680",56,"3,680","31,311","31,311",104,446,446,721,625,625,936,-0.26,-13.284,-13.284,.210,.210,-.309,.156,-10.675,-10.675,2.610,-13.284,186,186,311,358,18,0,2,"2,484",,,,,,2019
137,Scott Piercy,"3,960",60,"3,960","33,098","33,098",112,428,428,773,626,626,"1,008",-0.29,-.219,-.219,-.105,-.105,-.110,.166,-2.440,-2.440,-2.222,-.219,236,236,382,226,19,0,,"2,616",,,,,,2019
138,John Huh,"3,314",49,"3,314","27,281","27,281",94,429,429,648,556,556,846,-0.29,.759,.759,-.145,-.145,-.107,-.040,-9.189,-9.189,-9.948,.759,172,172,290,210,16,0,1,"2,632",,,,,,2019
139,Kevin Kisner,"3,024",54,"3,024","24,946","24,946",86,412,412,601,522,522,774,-0.31,19.908,19.908,-.190,-.190,-.169,.262,16.408,16.408,-3.502,19.908,143,143,252,769,16,0,4,"2,073",,,,1,1,2019
140,Henrik Stenson,"1,782",29,"1,782","14,757","14,757",50,242,242,344,294,294,450,-0.23,-14.279,-14.279,.047,.047,.614,-.213,-3.950,-3.950,10.329,-14.279,87,87,156,78,11,0,,"2,764",,,,,,2019
141,Hudson Swafford,"4,379",62,"4,379","38,167","38,167",124,524,524,864,748,748,"1,116",-0.31,.696,.696,.009,.009,.406,-.649,-10.020,-10.020,-10.717,.696,200,200,368,640,20,1,1,"2,202",,1,1,,,2019
142,Trey Mullinax,"3,660",54,"3,660","32,881","32,881",104,396,396,719,604,604,936,-0.31,-10.996,-10.996,.493,.493,-.194,-.034,-.369,-.369,10.626,-10.996,197,197,332,228,19,0,1,"2,614",,,,,,2019
143,Justin Lower,"3,254",50,"3,254","26,976","26,976",92,382,382,639,572,572,828,-0.26,-8.206,-8.206,-.413,-.413,.266,-.473,-25.559,-25.559,-17.352,-8.206,144,144,256,178,15,0,1,"2,664",,,,,,2019
144,Adam Svensson,"4,373",64,"4,373","36,261","36,261",124,535,535,859,756,756,"1,116",-0.27,-14.985,-14.985,-.096,-.096,.259,-.112,-12.632,-12.632,2.352,-14.985,203,203,360,261,21,0,2,"2,581",,,,,,2019
145,Danny Lee,"2,695",40,"2,695","22,563","22,563",76,287,287,526,435,435,684,-0.34,-11.314,-11.314,.099,.099,-.239,-.481,-27.460,-27.460,-16.143,-11.314,137,137,249,384,16,0,2,"2,458",,,,1,,2019
146,Dylan Wu,"3,470",53,"3,470","28,940","28,940",98,407,407,681,583,583,882,-0.26,8.755,8.755,-.213,-.213,-.229,-.196,-12.312,-12.312,-21.067,8.755,177,177,299,141,17,0,1,"2,701",,,,,,2019
147,Hank Lebioda,"3,973",60,"3,973","32,556","32,556",112,473,473,774,637,637,"1,008",-0.27,11.578,11.578,-.374,-.374,-.050,-.054,-9.400,-9.400,-20.978,11.578,226,226,371,146,21,0,,"2,696",,,,,,2019
148,Brice Garnett,"4,308",63,"4,308","35,646","35,646",122,559,559,841,729,729,"1,098",-0.25,1.938,1.938,-.014,-.014,-.235,.131,-3.382,-3.382,-5.322,1.938,240,240,369,176,21,0,1,"2,666",,,,,,2019
149,Henrik Norlander,"3,825",56,"3,825","28,919","28,919",100,453,453,746,652,652,972,-0.25,-17.834,-17.834,-.274,-.274,.108,-.009,-25.192,-25.192,-7.360,-17.834,181,181,320,189,19,0,1,"2,653",,,,,,2019
150,Wesley Bryan,"2,475",37,"2,475","18,309","18,309",62,260,260,478,380,380,630,-0.30,3.212,3.212,-1.214,-1.214,.428,.320,-8.435,-8.435,-11.646,3.212,153,153,250,85,12,0,,"2,757",,,,,,2019
151,Bill Haas,"4,942",74,"4,942","39,298","39,298",132,541,541,965,812,812,"1,260",-0.25,6.483,6.483,-.361,-.361,-.545,.328,-21.261,-21.261,-27.744,6.483,288,288,448,119,22,0,,"2,723",,,,,,2019
152,Peter Uihlein,"3,117",46,"3,117","27,362","27,362",88,279,279,611,513,513,792,-0.29,-3.384,-3.384,-.031,-.031,-.058,.032,-4.888,-4.888,-1.503,-3.384,163,163,279,62,15,0,,"2,780",,,,,,2019
153,Chez Reavie,"4,188",61,"4,188","33,209","33,209",118,569,569,813,683,683,"1,062",-0.24,-18.988,-18.988,-.332,-.332,.270,-.018,-22.890,-22.890,-3.903,-18.988,240,240,379,296,20,0,1,"2,546",,,,,,2019
154,Lee Hodges,"4,179",61,"4,179","35,021","35,021",118,506,506,815,712,712,"1,062",-0.25,-25.115,-25.115,.178,.178,-.072,.099,-15.052,-15.052,10.063,-25.115,205,205,350,292,20,0,2,"2,550",,,,,1,2019
155,Matthew Wolff,"2,930",44,"2,930","26,295","26,295",82,286,286,570,460,460,738,-0.31,10.412,10.412,-.190,-.190,-.524,.040,-11.172,-11.172,-21.585,10.412,148,148,278,557,14,0,2,"2,285",,,,1,,2019
156,Patrick Reed,"3,828",57,"3,828","31,208","31,208",108,451,451,752,612,612,972,-0.30,13.787,13.787,-.633,-.633,-.424,.125,-22.531,-22.531,-36.318,13.787,216,216,360,443,17,0,1,"2,399",,,,1,,2019
157,Hayden Buckley,"4,035",59,"4,035","33,984","33,984",114,538,538,791,708,708,"1,026",-0.26,-17.277,-17.277,.568,.568,.032,-.328,-5.565,-5.565,11.711,-17.277,179,179,318,301,20,0,2,"2,541",,,,,,2019
158,Scott Gutschewski,"2,825",42,"2,825","23,774","23,774",80,325,325,557,496,496,720,-0.26,-11.258,-11.258,-.072,-.072,.410,.136,-.821,-.821,10.437,-11.258,138,138,224,71,15,0,,"2,771",,,,,,2019
159,Ben Kohles,"3,186",47,"3,186","25,737","25,737",90,372,372,625,537,537,810,-0.29,5.091,5.091,-.611,-.611,-.121,-.266,-21.849,-21.849,-26.940,5.091,155,155,273,106,16,0,,"2,736",,,,,,2019
160,Carlos Ortiz,"3,452",49,"3,452","28,768","28,768",94,379,379,678,577,577,882,-0.32,-2.035,-2.035,-.086,-.086,.104,-.402,-17.392,-17.392,-15.357,-2.035,178,178,305,399,16,0,1,"2,443",,,,1,,2019
161,Jim Knous,"2,337",35,"2,337","19,638","19,638",66,246,246,459,376,376,594,-0.29,9.173,9.173,-.262,-.262,-.609,.300,-1.129,-1.129,-10.301,9.173,133,133,218,82,12,0,,"2,760",,,,,,2019
162,Nick Hardy,"2,475",39,"2,475","21,225","21,225",70,274,274,489,431,431,630,-0.26,-5.601,-5.601,.395,.395,-.223,-.523,-12.960,-12.960,-7.360,-5.601,115,115,199,84,13,0,,"2,758",,,,,,2019
163,Brian Gay,"2,770",39,"2,770","22,039","22,039",78,323,323,541,402,402,702,-0.33,29.890,29.890,-.821,-.821,-1.389,.297,-23.676,-23.676,-53.567,29.890,176,176,300,90,14,0,,"2,752",,,,,,2019
164,Callum Tarren,"2,911",45,"2,911","25,466","25,466",82,302,302,567,489,489,738,-0.28,-5.547,-5.547,.145,.145,-.174,-.356,-16.307,-16.307,-10.760,-5.547,135,135,249,107,16,0,1,"2,735",,,,,,2019
165,Roger Sloan,"3,838",54,"3,838","29,493","29,493",100,429,429,746,616,616,972,-0.28,-7.603,-7.603,-.232,-.232,-.298,.104,-25.908,-25.908,-18.305,-7.603,201,201,356,129,20,0,,"2,713",,,,,,2019
166,Nick Watney,"3,844",56,"3,844","32,726","32,726",108,413,413,753,671,671,972,-0.24,7.766,7.766,-.185,-.185,.187,-.323,-5.699,-5.699,-13.463,7.766,172,172,301,364,19,0,1,"2,478",,,,1,,2019
167,Doc Redman,"4,184",63,"4,184","32,390","32,390",110,474,474,815,698,698,"1,062",-0.27,-.628,-.628,-.153,-.153,.226,-.464,-17.405,-17.405,-16.777,-.628,204,204,364,237,20,0,1,"2,605",,,,,1,2019
168,Jared Wolfe,"3,044",45,"3,044","26,466","26,466",86,320,320,597,524,524,774,-0.26,-5.793,-5.793,-.105,-.105,-.161,-.199,-20.223,-20.223,-14.431,-5.793,147,147,250,73,17,0,,"2,769",,,,,,2019
169,Kevin Tway,"3,904",57,"3,904","34,081","34,081",110,379,379,763,630,630,990,-0.27,14.264,14.264,-.150,-.150,-.668,-.092,-26.666,-26.666,-40.930,14.264,215,215,360,303,21,0,1,"2,539",,,,1,,2019
170,Kelly Kraft,"3,204",47,"3,204","25,732","25,732",90,405,405,619,501,501,810,-0.30,22.510,22.510,-.366,-.366,-.621,-.290,-19.662,-19.662,-42.173,22.510,170,170,309,114,19,0,,"2,728",,,,,,2019
171,Cameron Champ,"2,715",38,"2,715","24,780","24,780",76,298,298,527,448,448,684,-0.28,-4.301,-4.301,.699,.699,-.224,-.386,-1.702,-1.702,2.601,-4.301,138,138,236,200,12,0,2,"2,642",,,,,,2019
172,Kiradech Aphibarnrat,"2,763",43,"2,763","22,607","22,607",78,346,346,537,447,447,702,-0.28,-9.013,-9.013,-.081,-.081,-.268,-.285,-24.242,-24.242,-15.230,-9.013,152,152,255,62,13,0,,"2,780",,,,,,2019
173,Jim Herman,"2,915",43,"2,915","23,851","23,851",82,393,393,568,503,503,738,-0.21,-14.245,-14.245,-.031,-.031,-.226,-.244,-30.783,-30.783,-16.539,-14.245,137,137,235,75,15,0,1,"2,767",,,,,,2019
174,Max McGreevy,"3,412",50,"3,412","27,772","27,772",96,414,414,661,547,547,864,-0.30,1.846,1.846,-.471,-.471,-.333,-.035,-24.976,-24.976,-26.823,1.846,178,178,317,268,18,0,1,"2,574",,,,1,,2019
175,Paul Barjon,"3,334",49,"3,334","29,020","29,020",94,370,370,649,568,568,846,-0.29,-11.599,-11.599,.399,.399,.138,-.598,-13.981,-13.981,-2.383,-11.599,143,143,278,126,17,0,1,"2,716",,,,,,2019
176,Emiliano Grillo,"3,665",54,"3,665","29,267","29,267",96,463,463,718,627,627,936,-0.31,-4.503,-4.503,.316,.316,-.103,-.241,-5.621,-5.621,-1.118,-4.503,177,177,309,145,19,0,,"2,697",,,,,,2019
177,Curtis Thompson,"3,476",53,"3,476","30,067","30,067",98,360,360,679,555,555,882,-0.28,.665,.665,.097,.097,-.474,-.310,-19.244,-19.244,-19.909,.665,198,198,327,129,19,0,1,"2,713",,,,,,2019
178,Camilo Villegas,"3,412",52,"3,412","27,912","27,912",96,397,397,669,573,573,864,-0.26,-23.241,-23.241,-.170,-.170,-.027,.179,-23.782,-23.782,-.542,-23.241,162,162,291,85,17,0,,"2,757",,,,,,2019
179,Sung Kang,"4,529",66,"4,529","35,291","35,291",120,533,533,884,768,768,"1,152",-0.28,9.845,9.845,-.317,-.317,-.392,-.179,-30.988,-30.988,-40.834,9.845,225,225,384,145,23,0,,"2,697",,,,,,2019
180,Kyle Stanley,"3,061",47,"3,061","22,684","22,684",78,397,397,593,531,531,774,-0.20,-30.731,-30.731,.235,.235,.053,-.432,-34.629,-34.629,-3.898,-30.731,138,138,243,80,18,0,,"2,762",,,,,,2019
181,Joseph Bramlett,"4,319",63,"4,319","38,725","38,725",122,452,452,845,756,756,"1,098",-0.28,-38.494,-38.494,.365,.365,.156,-.205,-23.670,-23.670,14.821,-38.494,179,179,342,125,21,0,,"2,717",,,,,,2019
182,Brandt Snedeker,"3,046",45,"3,046","24,925","24,925",86,367,367,599,520,520,774,-0.26,-7.192,-7.192,-.266,-.266,-.085,-.026,-19.646,-19.646,-12.456,-7.192,149,149,254,122,17,0,,"2,720",,,,,,2019
183,Branden Grace,"3,261",50,"3,261","24,888","24,888",84,385,385,640,546,546,828,-0.26,-24.056,-24.056,.019,.019,-.356,.055,-35.613,-35.613,-11.556,-24.056,167,167,282,213,17,0,2,"2,629",,,,,,2019
184,Brandon Hagy,"4,060",59,"4,060","33,513","33,513",106,369,369,783,637,637,"1,026",-0.30,-.742,-.742,.106,.106,-.621,-.248,-30.485,-30.485,-29.743,-.742,212,212,389,83,22,0,,"2,759",,,,,,2019
185,Martin Trainer,"3,983",58,"3,983","34,273","34,273",112,412,412,773,637,637,"1,008",-0.30,24.765,24.765,-.376,-.376,-.997,-.053,-32.258,-32.258,-57.025,24.765,215,215,371,247,22,0,2,"2,595",,,,,,2019
186,Jimmy Walker,"2,913",41,"2,913","24,097","24,097",82,303,303,569,476,476,738,-0.27,-9.899,-9.899,-.565,-.565,.101,.215,-18.088,-18.088,-8.191,-9.899,150,150,262,83,14,0,,"2,759",,,,,,2019
187,Seung-Yul Noh,"3,205",47,"3,205","26,874","26,874",90,315,315,623,537,537,810,-0.27,.321,.321,-1.165,-1.165,-.076,.133,-30.715,-30.715,-31.038,.321,155,155,273,74,16,0,,"2,768",,,,,,2019
188,Kevin Chappell,"2,771",43,"2,771","24,107","24,107",78,267,267,545,472,472,702,-0.29,-2.730,-2.730,-.350,-.350,-.297,-.214,-26.852,-26.852,-24.123,-2.730,124,124,230,108,13,0,,"2,734",,,,,,2019
189,Michael Gligic,"3,488",53,"3,488","29,097","29,097",98,391,391,681,568,568,882,-0.26,-20.136,-20.136,.049,.049,-.268,-.067,-30.171,-30.171,-10.036,-20.136,185,185,314,110,16,0,,"2,732",,,,,,2019
190,Charley Hoffman,"3,053",45,"3,053","24,059","24,059",78,279,279,596,499,499,774,-0.30,-12.140,-12.140,-.306,-.306,-.332,.022,-34.289,-34.289,-22.149,-12.140,160,160,275,99,16,0,,"2,743",,,,,,2019
191,Jason Dufner,"2,297",34,"2,297","18,586","18,586",64,271,271,444,363,363,576,-0.25,-11.019,-11.019,-.080,-.080,-.302,-.079,-20.706,-20.706,-9.686,-11.019,120,120,213,40,14,0,,"2,802",,,,,,2019
192,David Skinns,"3,136",48,"3,136","26,476","26,476",88,317,317,611,511,511,792,-0.29,-1.079,-1.079,-.582,-.582,-.255,.150,-21.700,-21.700,-20.621,-1.079,158,158,281,81,16,0,,"2,761",,,,,,2019
193,Charl Schwartzel,"2,940",45,"2,940","24,693","24,693",82,317,317,571,450,450,738,-0.27,-19.186,-19.186,-.366,-.366,-.273,.101,-35.860,-35.860,-16.673,-19.186,155,155,288,191,15,0,2,"2,651",,,,,,2019
194,Seth Reeves,"3,348",49,"3,348","28,636","28,636",94,397,397,653,563,563,846,-0.30,-1.249,-1.249,.494,.494,-.764,-.649,-27.917,-27.917,-26.668,-1.249,148,148,283,117,18,0,1,"2,725",,,,,,2019
195,Brett Drewitt,"2,858",42,"2,858","23,593","23,593",80,309,309,555,468,468,720,-0.22,-11.921,-11.921,-.414,-.414,-.418,.164,-27.939,-27.939,-16.017,-11.921,148,148,252,32,15,0,,"2,810",,,,,,2019
196,Austin Cook,"3,217",47,"3,217","25,596","25,596",90,426,426,625,499,499,810,-0.24,-4.405,-4.405,-.406,-.406,-.456,-.050,-30.870,-30.870,-26.465,-4.405,194,194,311,85,17,0,,"2,757",,,,,,2019
197,Garrick Higgo,"2,732",42,"2,732","20,557","20,557",68,293,293,532,429,429,684,-0.29,-8.014,-8.014,-.162,-.162,-.208,-.309,-24.304,-24.304,-16.290,-8.014,121,121,255,172,14,0,1,"2,670",,,,,,2019
198,Bronson Burgoon,"2,652",37,"2,652","22,083","22,083",74,268,268,511,418,418,666,-0.25,1.839,1.839,-.488,-.488,-.199,-.242,-23.247,-23.247,-25.088,1.839,144,144,248,80,13,0,,"2,762",,,,,,2019
199,Matt Wallace,"2,441",38,"2,441","18,155","18,155",60,262,262,466,395,395,612,-0.24,-16.414,-16.414,-.785,-.785,-.220,-.219,-51.929,-51.929,-35.515,-16.414,118,118,217,191,14,0,1,"2,651",,,,,,2019
200,Dawie van der Walt,"3,012",44,"3,012","24,814","24,814",84,341,341,583,481,481,756,-0.25,-5.831,-5.831,-.229,-.229,-.223,-.199,-24.064,-24.064,-18.233,-5.831,147,147,275,59,17,0,,"2,783",,,,,,2019
201,Richy Werenski,"3,442",50,"3,442","28,111","28,111",96,376,376,661,536,536,864,-0.27,9.589,9.589,-.420,-.420,-.617,-.310,-38.880,-38.880,-48.470,9.589,184,184,328,81,19,0,,"2,761",,,,,,2019
202,Chesson Hadley,"4,012",58,"4,012","31,434","31,434",104,409,409,775,618,618,"1,008",-0.26,13.041,13.041,-.599,-.599,-.400,-.364,-41.474,-41.474,-54.515,13.041,232,232,390,58,21,0,,"2,784",,,,,,2019
203,Joshua Creel,"2,381",35,"2,381","18,700","18,700",66,286,286,457,350,350,594,-0.23,1.841,1.841,-.217,-.217,-.716,-.424,-29.359,-29.359,-31.199,1.841,147,147,244,19,14,0,,"2,823",,,,,,2019
204,Jonas Blixt,"2,178",30,"2,178","17,566","17,566",60,236,236,415,298,298,540,-0.28,.504,.504,-.249,-.249,-1.500,-.148,-41.229,-41.229,-41.734,.504,139,139,242,15,13,0,,"2,827",,,,,,2019
0,Rory McIlroy,"2,091",30,"2,091","19,200","19,200",60,253,253,420,364,364,540,-0.32,8.564,8.564,.916,.916,.403,.316,51.068,51.068,42.506,8.564,112,112,176,"1,190",8,1,5,"1,652",,1,1,1,,2020
1,Cameron Smith,"2,468",40,"2,468","21,540","21,540",72,291,291,504,454,454,648,-0.39,21.103,21.103,-.049,-.049,1.078,.239,60.401,60.401,39.298,21.103,118,118,194,"1,603",11,2,5,"1,239",,2,2,,1,2020
2,Shane Lowry,"2,221",39,"2,221","19,372","19,372",64,280,280,442,388,388,576,-0.29,16.665,16.665,.303,.303,.766,-.024,43.835,43.835,27.170,16.665,136,136,188,802,11,0,3,"2,040",,,,1,2,2020
3,Matt Fitzpatrick,"2,792",43,"2,792","23,765","23,765",80,357,357,555,474,474,720,-0.27,17.462,17.462,.558,.558,.465,.462,56.081,56.081,38.618,17.462,172,172,246,795,12,0,6,"2,047",,,,1,,2020
4,Justin Thomas,"3,281",51,"3,281","30,069","30,069",96,375,375,672,599,599,864,-0.39,10.977,10.977,.476,.476,.873,.366,77.857,77.857,66.880,10.977,181,181,265,"1,568",13,1,8,"1,274",,1,1,,2,2020
5,Cameron Young,"3,757",57,"3,757","34,258","34,258",108,460,460,756,626,626,972,-0.35,11.639,11.639,.950,.950,.193,.141,73.295,73.295,61.658,11.639,220,220,346,"1,230",17,0,5,"1,612",,,,3,2,2020
6,Scottie Scheffler,"3,592",63,"3,592","32,355","32,355",104,424,424,724,667,667,936,-0.36,17.319,17.319,.121,.121,.622,.291,58.672,58.672,41.353,17.319,157,157,269,"2,842",16,4,7,0,,4,4,1,,2020
7,Russell Henley,"4,033",61,"4,033","34,371","34,371",116,540,540,808,724,724,"1,044",-0.32,-.174,-.174,-.010,-.010,.966,.331,60.351,60.351,60.525,-.174,182,182,320,762,16,0,2,"2,080",,,,1,,2020
8,Collin Morikawa,"2,355",42,"2,355","18,147","18,147",60,322,322,472,427,427,612,-0.33,2.338,2.338,.608,.608,.736,-.257,30.612,30.612,28.274,2.338,111,111,185,961,11,0,6,"1,881",,,,2,,2020
9,Tommy Fleetwood,"2,655",43,"2,655","20,544","20,544",68,317,317,524,445,445,684,-0.32,17.156,17.156,.211,.211,.149,.414,40.371,40.371,23.216,17.156,149,149,239,481,12,0,3,"2,361",,,,,,2020
10,Joaquin Niemann,"3,469",54,"3,469","28,370","28,370",92,394,394,694,600,600,900,-0.34,4.097,4.097,.507,.507,.300,.487,50.679,50.679,46.582,4.097,190,190,300,994,16,1,3,"1,848",,1,1,,,2020
11,Jon Rahm,"2,924",46,"2,924","26,773","26,773",84,387,387,588,550,550,756,-0.31,.285,.285,1.370,1.370,.542,-.212,59.810,59.810,59.527,.285,120,120,206,"1,279",12,1,5,"1,563",,1,1,1,1,2020
12,Matt Kuchar,"3,812",55,"3,812","31,611","31,611",110,499,499,765,637,637,990,-0.30,29.647,29.647,-.209,-.209,-.020,.659,50.265,50.265,20.618,29.647,251,251,353,676,15,0,3,"2,166",,,,1,1,2020
13,Hideki Matsuyama,"3,665",53,"3,665","30,005","30,005",98,458,458,742,666,666,954,-0.34,-5.824,-5.824,.242,.242,.782,.178,47.088,47.088,52.913,-5.824,181,181,288,"1,544",14,2,5,"1,298",,2,2,,1,2020
14,Talor Gooch,"4,225",68,"4,225","37,001","37,001",122,533,533,854,759,759,"1,098",-0.34,3.667,3.667,-.086,-.086,.571,.521,52.976,52.976,49.308,3.667,213,213,339,"1,253",19,1,4,"1,589",,1,1,,,2020
