,NAME,SCORING,ROUNDS,TOTAL STROKES,DRIVE_DISTANCE,TOTAL DISTANCE,TOTAL DRIVES,FWY_%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,GIR_%,GREENS HIT,# HOLES,RELATIVE/PAR,SG_P,TOTAL SG:PUTTING,SG_TTG,SG:OTT,SG:APR,SG:ARG,SG_T,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,SCRAMBLING_P,PAR OR BETTER,MISSED GIR,POINTS,EVENTS,# OF WINS,# OF TOP-10S,POINTS BEHIND LEAD,RESET POINTS,TOP 10,1ST,2ND,3RD,Year
56,Harold Varner III,"3,010",50,"3,010","26,105","26,105",86,329,329,597,502,502,774,-0.34,1.873,1.873,-.136,-.136,.413,.397,25.483,25.483,23.610,1.873,171,171,272,557,15,0,3,"2,285",,,,,1,2017
57,Adam Scott,"2,810",44,"2,810","25,006","25,006",80,308,308,556,476,476,720,-0.33,16.377,16.377,.214,.214,.291,-.181,27.718,27.718,11.341,16.377,144,144,244,417,12,0,3,"2,425",,,,,,2017
58,J.J. Spaun,"5,055",72,"5,055","42,343","42,343",144,649,649,999,880,880,"1,296",-0.29,4.034,4.034,.207,.207,.186,-.008,24.812,24.812,20.776,4.034,252,252,416,897,21,1,2,"1,945",,1,1,,,2017
59,Matthew NeSmith,"4,497",68,"4,497","35,637","35,637",120,560,560,883,798,798,"1,152",-0.26,-12.978,-12.978,.185,.185,.487,.027,23.396,23.396,36.373,-12.978,215,215,354,475,20,0,2,"2,367",,,,,1,2017
60,Jordan Spieth,"2,926",45,"2,926","25,851","25,851",84,348,348,591,523,523,756,-0.32,-14.276,-14.276,.467,.467,.643,.259,36.409,36.409,50.686,-14.276,156,156,233,"1,277",13,1,3,"1,565",,1,1,2,,2017
61,Daniel Berger,"1,975",31,"1,975","16,458","16,458",56,271,271,396,326,326,504,-0.29,-1.777,-1.777,.379,.379,.579,.300,27.161,27.161,28.939,-1.777,118,118,178,395,9,0,2,"2,447",,,,,,2017
62,Brendan Steele,"3,737",57,"3,737","30,081","30,081",98,438,438,738,647,647,954,-0.24,-18.383,-18.383,.707,.707,.094,-.129,9.832,9.832,28.216,-18.383,192,192,307,563,17,0,3,"2,279",,,,1,,2017
63,Jason Day,"2,810",44,"2,810","24,153","24,153",80,331,331,553,462,462,720,-0.33,8.863,8.863,-.148,-.148,-.185,.230,5.396,5.396,-3.469,8.863,159,159,258,302,13,0,2,"2,540",,,,,1,2017
64,K.H. Lee,"4,494",64,"4,494","36,019","36,019",120,569,569,896,759,759,"1,152",-0.30,6.161,6.161,.333,.333,-.038,.027,24.244,24.244,18.085,6.161,244,244,393,781,18,1,1,"2,061",,1,1,,,2017
65,Joel Dahmen,"4,127",63,"4,127","34,586","34,586",118,560,560,821,737,737,"1,062",-0.29,-1.083,-1.083,.191,.191,.343,-.320,9.678,9.678,10.759,-1.083,185,185,325,410,18,0,2,"2,432",,,,,,2017
